Seed,Model,WinRate,TPCA,OBMQ,Kappa,TrailRisk,LeadRisk
42,M1 (Control Baseline),44.5,68.2,0.58,0.44,21.2,20.5
42,M2 (State Only),52.1,79.5,0.71,0.58,25.8,20.2
42,M3 (Reward Only),57.2,78.4,0.74,0.6,28.5,19.4
42,M4 (Full Treatment),65.2,87.2,0.87,0.74,35.2,16.8
101,M1 (Control Baseline),60.8,75.4,0.66,0.54,22.4,21.5
101,M2 (State Only),66.4,85.2,0.77,0.66,26.5,20.0
101,M3 (Reward Only),70.5,84.1,0.8,0.68,30.2,19.1
101,M4 (Full Treatment),77.5,91.5,0.91,0.8,38.4,17.5
2024,M1 (Control Baseline),47.2,69.8,0.59,0.46,20.8,20.4
2024,M2 (State Only),53.8,80.6,0.72,0.59,25.4,19.8
2024,M3 (Reward Only),58.0,79.2,0.75,0.61,28.9,19.5
2024,M4 (Full Treatment),66.8,88.0,0.88,0.75,34.8,16.5
7,M1 (Control Baseline),61.5,74.8,0.65,0.53,22.1,21.2
7,M2 (State Only),67.2,84.8,0.76,0.65,27.0,20.4
7,M3 (Reward Only),71.8,83.5,0.81,0.67,30.8,19.0
7,M4 (Full Treatment),79.2,92.1,0.92,0.81,38.9,17.8
888,M1 (Control Baseline),54.0,70.8,0.62,0.49,21.5,20.9
888,M2 (State Only),60.5,82.4,0.74,0.62,26.3,20.1
888,M3 (Reward Only),64.5,80.8,0.77,0.64,29.6,19.2
888,M4 (Full Treatment),72.3,88.4,0.89,0.77,36.7,17.4
